1 21
1.000000        -2.560000 
1.050000        -2.849538 
1.100000        -3.154963 
1.150000        -3.476286 
1.200000        -3.813517 
1.250000        -4.166667 
1.300000        -4.535742 
1.350000        -4.920750 
1.400000        -5.321697 
1.450000        -5.738588 
1.500000        -6.171429 
1.550000        -6.620222 
1.600000        -7.084973 
1.650000        -7.565684 
1.700000        -8.062359 
1.750000        -8.575000 
1.800000        -9.103610 
1.850000        -9.648190 
1.900000        -10.208744 
1.950000        -10.785273 
2.000000        -11.377778
